companyid	attribute_id	value	fiscial_year	quarter	date_inserted	source	unit
1	66	236	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	66	302	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	66	222	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	66	314	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	66	240	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	66	318	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	66	248	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	66	362	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	66	284	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	66	371	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	20	120	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	20	151	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	20	109	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	20	172	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	20	131	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	20	170	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	20	128	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	20	197	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	20	161	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	20	200	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	86	12.9	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	86	24.0	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	86	1.4	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	86	30.5	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	86	25.1	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	86	36.2	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	86	19.9	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	86	55.4	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	86	43.3	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	86	47.8	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	78	9.3	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	78	19.4	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	78	-2.2	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	78	26.4	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	78	22.0	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	78	36.1	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	78	16.2	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	78	52.4	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	78	41.5	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	78	44.4	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	79	9.1	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	79	19.7	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	79	-1.9	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	79	26.7	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	79	22.3	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	79	36.3	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	79	16.3	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
1	79	52.4	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
1	79	41.5	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
1	79	58.3	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
1	109	0.30	2023	3	2026-04-02 11:52:28+00	borsdata	SEK
1	109	0.66	2023	4	2026-04-02 11:52:28+00	borsdata	SEK
1	109	-0.06	2024	1	2026-04-02 11:52:28+00	borsdata	SEK
1	109	0.89	2024	2	2026-04-02 11:52:28+00	borsdata	SEK
1	109	0.74	2024	3	2026-04-02 11:52:28+00	borsdata	SEK
1	109	1.21	2024	4	2026-04-02 11:52:28+00	borsdata	SEK
1	109	0.54	2025	1	2026-04-02 11:52:28+00	borsdata	SEK
1	109	1.75	2025	2	2026-04-02 11:52:28+00	borsdata	SEK
1	109	1.38	2025	3	2026-04-02 11:52:28+00	borsdata	SEK
