companyid	company_name
1	Nelly
2	2020 Bulkers
3	2cureX
4	4C Group
5	5th Planet Games
6	A.P. Moller Maersk A
7	A.P. Moller Maersk B
8	AAC Clyde Space
9	AAK
10	Aalborg Boldspilklub
11	Aallon Group
12	Aasen Sparebank
13	ABAS Protect
14	ABB
15	Abelco Investment
16	Abera Bioscience
17	ABG Sundal Collier
18	ABL Group
19	Absolent Air Care
20	Absolicon
21	AcadeMedia
22	Acarix
23	Acast
24	Acconeer
25	Acenta Group
26	AcouSort
27	Acrinova A
28	Acrinova B
29	Acroud
30	Actic Group
31	Active Biotech
32	AcuCort
33	Acuvi
34	AddLife
35	Addnode
36	Addtech
37	ADDvise Group A
38	ADDvise Group B
39	Admicom
40	Administer
41	ADS Maritime
42	Adtraction
43	Advenica
44	Adventure Box
45	Adverty
46	Aerospace & Defense
47	Aerowash
48	AF Gruppen
49	Afarak
50	Africa Energy
51	Africa Oil
52	Africa Resources
53	AFRY
54	Agat Ejendomme
55	Ages Industri
56	AGF B
57	Agillic
58	Agilyx
59	Agtira
60	Aiforia Technologies
61	AIK Fotboll
62	Aino Health
63	Airthings
64	Aixia
65	Akastor
66	Aker
67	Aker BioMarine
68	Aker BP
69	Aker Carbon Capture
70	Aker Horizons
71	Aker Solutions
72	Akobo Minerals
73	Aktia Bank
74	AKVA Group
75	Ålandsbanken A
76	Ålandsbanken B
77	Alcadon Group
78	Alefarm Brewing
79	Alexandria Group
80	Alfa Laval
81	Alimak
82	Alisa Pankki
83	ALK-Abello
84	Alleima
85	Alligator Bioscience
86	Alligo
87	ALM Equity
88	ALM Equity Pref
89	Alm. Brand
90	Alma Media
91	Alpcot
92	Alternative Energy
93	Alternus Energy
94	AlzeCure Pharma
95	Alzinova
96	Ambea
97	Ambu
98	Amhult 2
99	Amido
100	Amnode
101	AMSC
102	Andfjord Salmon
103	Angler Gaming
104	Annehem Fastigheter
105	Annexin
106	Anora Group
107	Anoto
108	ANTCO Investment
109	Apetit
110	Apotea
111	AppSpotr
112	Aptahem
113	AQ Group
114	Aqua Bio Technology
115	Aquaporin
116	Aquaticus Real Estate
117	Aquila
118	Arbona A
119	Archelon Natural
120	Archer
121	Arcoma
122	Arctic Bioscience
123	Arctic Blue Beverages
124	Arctic Fish
125	Arctic Minerals
126	Arctic Paper
127	ArcticZymes
128	Arendals Fossekompani
129	Argeo
130	Arion Banki
131	Arise Windpower
132	Arjo
133	Arla Plast
134	Arlandastad
135	AroCell
136	Arribatec
137	Ascelia Pharma
138	Asetek
139	Asker Healthcare
140	Asmodee
141	Aspo
142	Aspocomp
143	Assa Abloy
144	AstraZeneca
145	Asuntosalkku
146	Atea
147	Athanase Innovation
148	Atlantic Petroleum
149	Atlantic Sapphire
150	Atlas Copco A
151	Atlas Copco B
152	Atria
153	Atrium Ljungberg
154	Attana
155	Attendo
156	Audientes
157	Aurora Eiendom
158	Aurskog Sparebank
159	Austevoll Seafood
160	Autoliv
161	Automobiles & Parts
162	Autostore
163	Avance Gas
164	Avanza Bank
165	Avensia
166	Avsalt Group
167	Avtech
168	Awardit
169	Awilco Drilling
170	Awilco LNG
171	Axactor
172	Axfood
173	aXichem
174	Axolot Solutions
175	Ayfie
176	B2 Impact
177	B3 Consulting
178	Backaheden
179	Bactiguard
180	BactiQuant
181	Bahnhof
182	Bakkafrost
183	Balco Group
184	Baltic Sea Properties
185	Bambuser
186	Bang & Olufsen
187	Banks
188	Barramundi
189	Basic Resources
190	Bavarian Nordic
191	Bawat Water
192	BE Group
193	BeammWave
194	Beijer Alma
195	Beijer Ref
196	Benchmark Holdings
197	Beowulf Mining
198	Bergen Carbon
199	BerGenBio
200	Bergman & Beving
201	Berner Industrier
202	Besqab
203	Besqab Pref B
204	Betolar
205	Betsson
206	Better Collective
207	BEWi
208	Beyond Frames
209	BHG Group
210	BiBBInstruments
211	BICO Group
212	Bien Sparebank
213	Bilia
214	Billerud
215	BIMobject
216	Binero Group
217	Bio-Works
218	BioArctic
219	Bioextrax
220	BioFish
221	Biofrigas
222	BioGaia
223	Biohit
224	Bioinvent
225	BioPorto
226	Bioretec
227	Biosergen
228	Biotage
229	Biovica
230	Bittium
231	Björn Borg
232	Black Sea Property
233	Blick Global
234	Bluelake Mineral
235	Bluenord
236	Bodyflight
237	Boho Group
238	Boho Group Pref
239	Bokusgruppen
240	Boliden
241	BoMill
242	Bonäsudden
243	Bonava A
244	Bonava B
245	Bonesupport
246	Bong Ljungdahl
247	Bonheur
248	Boozt
249	Boreo
250	Borgestad
251	Borregaard
252	Botnia Exploration
253	Boule Diagnostics
254	Bouvet
255	BPC Instruments
256	Brain+
257	BrainCool
258	BrandBee
259	Bravida
260	Brd. Klee
261	Brdr. A&O Johansen
262	Bredband2
263	BrightBid
264	Brilliant Future
265	Brinova Fastigheter
266	Briox
267	Brock Milton Capital
268	Brondbyernes IF
269	Bruton
270	BTS Group
271	Bubbleroom
272	Bufab
273	Bulten
274	Bure Equity
275	BW Energy Limited
276	BW LPG
277	BW Offshore Limited
278	Byggma
279	Byggmästare AJ Ahlström
280	Byggmax
281	Byggpartner
282	C-RAD
283	Cadeler
284	CAG Group
285	Cambi
286	Camurus
287	Canatu
288	Candles Scandinavia
289	Cantargia
290	CapMan
291	Capsol Technologies
292	Carasent
293	Carbiotix
294	Cardeon
295	Careium
296	Carlsberg A
297	Carlsberg B
298	Case Group
299	Castellum
300	Catella A
301	Catella B
302	Catena
303	Catena Media
304	Cavendish Hydrogen
305	Cavotec
306	cBrain
307	CDON
308	Cedergrenska
309	Cell Impact
310	CellaVision
311	Cemat
312	Cereno Scientific
313	Cessatech
314	ChargePanel
315	checkin.com
316	Cheffelo
317	ChemoMetec
318	ChemoTech
319	Chordate Medical
320	Chordate Medical Pref
321	CHOSA Oncology
322	Cibus Nordic
323	Cinclus Pharma
324	Cinis Fertilizer
325	Cint Group
326	CirChem
327	Circio
328	Circle Energy
329	Citycon
330	Clas Ohlson
331	Clavister
332	Clean Motion
333	Clean Seas Seafood
334	Clemondo
335	Climeon
336	Clinical Laserthermia
337	Cloetta
338	Cloudberry Clean Energy
339	CodeLab Capital
340	CodeMill
341	Coegin Pharma
342	CoinShares
343	Coloplast
344	Columbus
345	CombiGene
346	CombinedX
347	Comintelli
348	Compodium
349	Componenta
350	Concejo B
351	Condo Nordic
352	Consensus
353	Constellation Oil
354	Consti
355	Construction & Materials
356	Consumer Products
357	Consumer Services
358	ContextVision
359	Cool Company
360	Coor Service Management
361	Copenhagen Capital
362	Corem Property A
363	Corem Property B
364	Corem Property D
365	Corem Property Pref
366	Corline Biomedical
367	Crayon Group
368	Creades
369	Creturner
370	Crown Energy
371	Crunchfish
372	CTEK
373	CTT Systems
374	Curasight
375	Cyber Security 1
376	Cyclezyme
377	Cyviz
378	D/S Norden
379	Dala Energi
380	Dancann Pharma
381	Danish Aerospace
382	Danske Andelskassers
383	Danske Bank
384	Dantax
385	Dataproces
386	DecideAct
387	Dedicare
388	Deep Value Driller
389	Demant
390	Desenio
391	Desert Control
392	Detection
393	DevPort
394	Devyser Diagnostics
395	DexTech Medical
396	DFDS
397	Diadrom
398	Diagonal Bio
399	Diamyd Medical
400	Dicot Pharma
401	Digia
402	Digital Workforce
403	Digitalist Group
404	Dignitana
405	Diös Fastigheter
406	DistIT
407	District Metals
408	Dividend Sweden
409	Divio Technologies
410	Djurslands Bank
411	Dlaboratory
412	DNB Bank
413	DNO
414	DOF Group
415	Dolphin Drilling
416	Dometic
417	Done.ai
418	DonkeyRepublic
419	Doro
420	Double Bond Pharma
421	Dovre
422	Doxa
423	Drillcon
424	DSV
425	Duell
426	Dug Foodtech
427	Duni
428	Duroc
429	Dustin Group
430	Dynavox Group
431	Eagle Filters
432	EAM Solar
433	Eastnine
434	EasyFill
435	EatGood
436	Ecoclime
437	ECOMB
438	EcoRub
439	EcoUp
440	Edda Wind
441	Edyoutec
442	eEducation Albert
443	Eevia Health
444	Eezy
445	Effnetplattformen
446	Egetis Therapeutics
447	EgnsINVEST
448	Eidesvik Offshore
449	Elanders
450	Elecster
451	Electricity
452	Electrolux A
453	Electrolux B
454	Electrolux Professional B
455	Electromagnetic Geoservices
456	Electronic Equipment
457	Elekta
458	Elektroimportoren
459	Elicera Therapeutics
460	Elisa
461	Elkem
462	Ellen
463	Elliptic Laboratories
464	ELLWEE
465	Elmera
466	Elon
467	Elopak
468	Eltel
