Companyname	attribute	value	fiscial_year	quarter	date_inserted	source	unit
Nelly	Nettoomsättning	236	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Nettoomsättning	302	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Nettoomsättning	222	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Nettoomsättning	314	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Nettoomsättning	240	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Nettoomsättning	318	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Nettoomsättning	248	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Nettoomsättning	362	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Nettoomsättning	284	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Nettoomsättning	371	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Bruttoresultat	120	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Bruttoresultat	151	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Bruttoresultat	109	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Bruttoresultat	172	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Bruttoresultat	131	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Bruttoresultat	170	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Bruttoresultat	128	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Bruttoresultat	197	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Bruttoresultat	161	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Bruttoresultat	200	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Rörelseresultat	12.9	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Rörelseresultat	24.0	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Rörelseresultat	1.4	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Rörelseresultat	30.5	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Rörelseresultat	25.1	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Rörelseresultat	36.2	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Rörelseresultat	19.9	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Rörelseresultat	55.4	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Rörelseresultat	43.3	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Rörelseresultat	47.8	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Resultat Före Skatt	9.3	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Resultat Före Skatt	19.4	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Resultat Före Skatt	-2.2	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Resultat Före Skatt	26.4	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Resultat Före Skatt	22.0	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Resultat Före Skatt	36.1	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Resultat Före Skatt	16.2	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Resultat Före Skatt	52.4	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Resultat Före Skatt	41.5	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Resultat Före Skatt	44.4	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Resultat Hänföring Aktieägare	9.1	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Resultat Hänföring Aktieägare	19.7	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Resultat Hänföring Aktieägare	-1.9	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Resultat Hänföring Aktieägare	26.7	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Resultat Hänföring Aktieägare	22.3	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Resultat Hänföring Aktieägare	36.3	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Resultat Hänföring Aktieägare	16.3	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
